0.335,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNe,8,1,basic latent features,ignore,none,asis,1.12784979099243,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744822639878,FALSE,,,,,,,,,,
0.837,0.841,0.051,0.283,0.226,Fri Aug 11 00:52:34 2017,glmnet,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,258,3,cv,5,6,1,5,0.281249305931851,0.0511299802489048
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 00:52:55 2017,glmnet_h2o,1,1,basic latent features,ignore,none,range01,21
1,1,-1,0,0,Fri Aug 11 00:52:58 2017,glmStepAIC,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,260,3,cv,5,6,1,5,none
1,1,8,0,0,Fri Aug 11 00:53:05 2017,icr,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,261,7,cv,5,6,1,5,8
1,1,5,0,0,Fri Aug 11 00:53:07 2017,kernelpls,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,262,2,cv,5,6,1,5,5
0.757,0.746,NA,0.452,0.337,Fri Aug 11 00:53:12 2017,kknn,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,263,4,cv,5,6,1,5,4,0.639114139834419,triangular
0.705,0.68,5,0.57,0.408,Fri Aug 11 00:53:14 2017,knn,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,264,2,cv,5,6,1,5,5
-0.029,-0.009,3,1.795,1.427,Fri Aug 11 00:53:17 2017,krlsPoly,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,265,3,cv,5,6,1,5,0.0150867327156334,3
0.997,0.996,2804.342,0.006,0.005,Fri Aug 11 00:53:21 2017,krlsRadial,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,266,4,cv,5,6,1,5,4.31646977876528e-05,2804.34170892072
1,1,0.846,0,0,Fri Aug 11 00:53:23 2017,lars,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,267,2,cv,5,6,1,5,0.845728617394343
1,1,9,0,0,Fri Aug 11 00:53:25 2017,lars2,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,268,2,cv,5,6,1,5,9
1,1,0.944,0,0,Fri Aug 11 00:53:28 2017,lasso,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,269,2,cv,5,6,1,5,0.943765355041251
1,1,5,0,0,Fri Aug 11 00:53:30 2017,leapBackward,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,270,2,cv,5,6,1,5,5
1,1,6,0,0,Fri Aug 11 00:53:32 2017,leapForward,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,271,2,cv,5,6,1,5,6
1,1,7,0,0,Fri Aug 11 00:53:34 2017,leapSeq,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,272,2,cv,5,6,1,5,7
1,1,-1,0,0,Fri Aug 11 00:53:36 2017,lm,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,273,2,cv,5,6,1,5,TRUE
1,1,-1,0,0,Fri Aug 11 00:53:39 2017,lmStepAIC,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,274,3,cv,5,6,1,5,none
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 00:53:42 2017,logicBag,1,1,basic latent features,ignore,none,range01,3
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 00:53:46 2017,logreg,1,1,basic latent features,ignore,none,range01,3
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 00:53:47 2017,M5,1,1,basic latent features,ignore,none,range01,0
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 00:53:47 2017,M5Rules,1,1,basic latent features,ignore,none,range01,0
0.731,0.751,1.687,NA,NA,Fri Aug 11 00:53:54 2017,msaenet,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,279,6,cv,5,6,1,5,0.607823139429092,5,1.68745294597466
0.959,0.914,0,0.154,0.057,Fri Aug 11 00:54:00 2017,nnet,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,280,6,cv,5,6,1,5,4,0.000101110041775036
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 00:54:03 2017,nnls,1,1,basic latent features,ignore,none,range01,3
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 00:54:03 2017,ordinalNet,1,1,basic latent features,ignore,none,range01,0
0.754,0.722,8,0.494,0.341,Fri Aug 11 00:54:12 2017,parRF,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,283,8,cv,5,6,1,5,8
0.959,0.917,0,0.147,0.057,Fri Aug 11 00:54:16 2017,pcaNNet,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,284,4,cv,5,6,1,5,17,7.65235439206296e-05
1,1,6,0,0,Fri Aug 11 00:54:19 2017,pcr,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,285,2,cv,5,6,1,5,6
Fail,Fail,Fail,Fail,PackageFail,Fri Aug 11 00:54:25 2017,pls,1,1,basic latent features,ignore,none,range01,9
1,1,0.141,0,0,Fri Aug 11 00:54:52 2017,plsRglm,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,287,22,cv,5,6,1,5,7,0.140845104027539
0.971,0.891,1,0.194,0.04,Fri Aug 11 00:54:55 2017,ppr,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,288,2,cv,5,6,1,5,1
Fail,Fail,Fail,Fail,PackageFail,Fri Aug 11 00:55:02 2017,pythonKnnReg,1,1,basic latent features,ignore,none,range01,9
0.557,0.621,9,0.674,0.615,Fri Aug 11 00:55:13 2017,qrf,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,290,11,cv,5,6,1,5,9
1,1,1,0,0,Fri Aug 11 01:15:55 2017,qrnn,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,291,1241,cv,5,6,1,5,1,0,FALSE
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:15:56 2017,randomGLM,1,1,basic latent features,ignore,none,range01,1
0.776,0.744,6,0.456,0.31,Fri Aug 11 01:16:02 2017,ranger,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,293,6,cv,5,6,1,5,6
0.785,0.759,6,0.428,0.298,Fri Aug 11 01:17:30 2017,Rborist,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,294,87,cv,5,6,1,5,6
0.326,0.475,3.289,0.934,0.934,Fri Aug 11 01:17:33 2017,relaxo,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,295,3,cv,5,6,1,5,3.28856500445086,0.843501665396616
0.767,0.738,7,0.467,0.322,Fri Aug 11 01:17:42 2017,rf,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,296,9,cv,5,6,1,5,7
1,1,0,0.001,0.001,Fri Aug 11 01:17:45 2017,ridge,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,297,2,cv,5,6,1,5,1.06846216125283e-05
1,1,NA,0,0,Fri Aug 11 01:17:48 2017,rlm,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,298,3,cv,5,6,1,5,TRUE,psi.huber
0.643,0.627,0,0.664,0.494,Fri Aug 11 01:17:51 2017,rpart,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,299,2,cv,5,6,1,5,0
0.643,0.627,-1,0.664,0.494,Fri Aug 11 01:17:53 2017,rpart1SE,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,300,2,cv,5,6,1,5,none
0.643,0.627,5,0.664,0.494,Fri Aug 11 01:17:56 2017,rpart2,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,301,2,cv,5,6,1,5,5
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:17:57 2017,rqlasso,1,1,basic latent features,ignore,none,range01,1
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:17:58 2017,rqnc,1,1,basic latent features,ignore,none,range01,1
0.781,0.744,0.067,0.456,0.304,Fri Aug 11 01:18:12 2017,RRF,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,304,14,cv,5,6,1,5,5,0.59686938370578,0.0670373875182122
0.788,0.749,0.236,0.447,0.294,Fri Aug 11 01:18:21 2017,RRFglobal,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,305,8,cv,5,6,1,5,5,0.235721317818388
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:18:25 2017,rvmLinear,1,1,basic latent features,ignore,none,range01,5
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:18:35 2017,rvmPoly,1,1,basic latent features,ignore,none,range01,10
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:18:45 2017,rvmRadial,1,1,basic latent features,ignore,none,range01,9
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:19:54 2017,SBC,1,1,basic latent features,ignore,none,range01,69
1,1,5,0,0,Fri Aug 11 01:19:56 2017,simpls,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,310,2,cv,5,6,1,5,5
0.999,0.999,5,0.001,0.001,Fri Aug 11 01:20:41 2017,spikeslab,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,311,44,cv,5,6,1,5,5
1,1,5,0,0,Fri Aug 11 01:20:44 2017,spls,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,312,3,cv,5,6,1,5,5,0.0957516143098474,0.463222693651915
-2.496,-1.728,2,NA,NA,Fri Aug 11 01:20:47 2017,superpc,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,313,2,cv,5,6,1,5,0.0708388574421406,2
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:20:48 2017,svmBoundrangeString,1,1,basic latent features,ignore,none,range01,0
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:20:49 2017,svmExpoString,1,1,basic latent features,ignore,none,range01,0
NA,NA,0.089,NA,NA,Fri Aug 11 01:20:52 2017,svmLinear,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,316,3,cv,5,6,1,5,0.0886706937814518
0.932,0.937,0.122,0.113,0.094,Fri Aug 11 01:20:55 2017,svmLinear2,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,317,3,cv,5,6,1,5,0.122222173982451
0.688,0.705,NA,0.525,0.433,Fri Aug 11 01:20:57 2017,svmLinear3,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,318,2,cv,5,6,1,5,110.330659022832,L2
NA,NA,3.32,NA,NA,Fri Aug 11 01:21:00 2017,svmPoly,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,319,3,cv,5,6,1,5,1,0.933525526293774,3.3201201309804
NA,NA,527.144,NA,NA,Fri Aug 11 01:21:04 2017,svmRadial,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,320,3,cv,5,6,1,5,0.00898277344257018,527.143877844255
NA,NA,15.811,NA,NA,Fri Aug 11 01:21:07 2017,svmRadialCost,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,321,3,cv,5,6,1,5,15.8113703116109
NA,NA,41.692,NA,NA,Fri Aug 11 01:21:10 2017,svmRadialSigma,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,322,3,cv,5,6,1,5,0.00880067110749541,41.6915210327146
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:21:11 2017,svmSpectrumString,1,1,basic latent features,ignore,none,range01,0
0.628,0.598,-1,0.715,0.516,Fri Aug 11 01:21:17 2017,treebag,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,324,6,cv,5,6,1,5,none
1,1,5,0,0,Fri Aug 11 01:21:20 2017,widekernelpls,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,325,3,cv,5,6,1,5,5
0.596,0.564,NA,0.775,0.56,Fri Aug 11 01:22:22 2017,WM,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,326,62,cv,5,6,1,5,18,GAUSSIAN
0.798,0.782,2.848,0.388,0.28,Fri Aug 11 01:22:30 2017,xgbLinear,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,327,8,cv,5,6,1,5,12,0.0482770745045908,0.00557513198561029,2.84753227536567
-0.055,-0.027,7,1.827,1.462,Fri Aug 11 01:23:05 2017,xgbTree,1,1,basic latent features,ignore,none,range01,1.77880296048276,random,328,34,cv,5,6,1,5,7,1,0.528800726707326,3.4116541990079,0.437239967193454,17,0.652949101815466
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:23:09 2017,xyf,1,1,basic latent features,ignore,none,range01,4
0.24,0.138,NA,2.292,1.578,Fri Aug 11 01:23:27 2017,avNNet,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,330,17,cv,5,6,1,5,15,0.00491980772173422,TRUE
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:23:30 2017,bag,1,1,basic latent features,ignore,none,asis,3
0.782,0.806,3,0.516,0.452,Fri Aug 11 01:23:52 2017,bagEarth,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,332,22,cv,5,6,1,5,3,2
0.999,0.999,-1,NA,NA,Fri Aug 11 01:24:05 2017,bagEarthGCV,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,333,13,cv,5,6,1,5,1
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:24:09 2017,bam,1,1,basic latent features,ignore,none,asis,4
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:24:10 2017,bartMachine,1,1,basic latent features,ignore,none,asis,1
1,1,-1,0,0,Fri Aug 11 01:24:13 2017,bayesglm,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,336,2,cv,5,6,1,5,none
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:24:19 2017,blasso,1,1,basic latent features,ignore,none,asis,5
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:24:26 2017,blassoAveraged,1,1,basic latent features,ignore,none,asis,7
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:24:31 2017,bridge,1,1,basic latent features,ignore,none,asis,5
0.938,0.951,390,NA,NA,Fri Aug 11 01:25:38 2017,BstLm,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,340,67,cv,5,6,1,5,390,0.207024982884992
0.599,0.527,6,1.258,0.833,Fri Aug 11 01:25:50 2017,cforest,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,341,11,cv,5,6,1,5,6
0.631,0.583,0.506,1.11,0.765,Fri Aug 11 01:25:54 2017,ctree,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,342,4,cv,5,6,1,5,0.505946411751211
0.598,0.571,0.29,1.14,0.835,Fri Aug 11 01:25:58 2017,ctree2,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,343,4,cv,5,6,1,5,3,0.290426693623886
0.999,1,4,NA,NA,Fri Aug 11 01:26:13 2017,cubist,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,344,16,cv,5,6,1,5,62,4
0.004,0.03,13,2.58,2.068,Fri Aug 11 01:26:49 2017,DENFIS,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,345,35,cv,5,6,1,5,0.737224088748917,13
0.057,-0.017,0.082,2.704,1.957,Fri Aug 11 01:26:53 2017,dnn,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,346,4,cv,5,6,1,5,9,20,12,0.0703612950397655,0.0821767594199628
0.999,0.999,7,NA,NA,Fri Aug 11 01:26:57 2017,earth,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,347,4,cv,5,6,1,5,7,2
1,1,NA,0,0,Fri Aug 11 01:27:00 2017,elm,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,348,2,cv,5,6,1,5,16,purelin
1,1,0.822,NA,NA,Fri Aug 11 01:27:03 2017,enet,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,349,3,cv,5,6,1,5,0.82222084258683,3.4810321248187e-05
0.598,0.571,1.201,1.14,0.835,Fri Aug 11 01:28:20 2017,evtree,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,350,77,cv,5,6,1,5,1.20127875450999
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:28:21 2017,extraTrees,1,1,basic latent features,ignore,none,asis,1
1,1,5,NA,NA,Fri Aug 11 01:28:24 2017,foba,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,352,3,cv,5,6,1,5,5,4.09869149201022e-05
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:28:28 2017,gam,1,1,basic latent features,ignore,none,asis,4
0.995,0.995,NA,0.013,0.01,Fri Aug 11 01:29:25 2017,gamboost,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,354,57,cv,5,6,1,5,687,yes
1,1,0.008,0,0,Fri Aug 11 01:29:34 2017,gamSpline,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,355,9,cv,5,6,1,5,0.00833943020552397
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:29:39 2017,gaussprLinear,1,1,basic latent features,ignore,none,asis,4
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:29:45 2017,gaussprPoly,1,1,basic latent features,ignore,none,asis,6
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:29:51 2017,gaussprRadial,1,1,basic latent features,ignore,none,asis,6
0.715,0.689,3165,0.826,0.593,Fri Aug 11 01:29:59 2017,gbm,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,359,8,cv,5,6,1,5,3165,1,0.483170850384282,5
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:30:27 2017,gbm_h2o,1,1,basic latent features,ignore,none,asis,27
0.999,0.999,-1,NA,NA,Fri Aug 11 01:30:29 2017,gcvEarth,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,361,2,cv,5,6,1,5,1
1,1,-1,0,0,Fri Aug 11 01:30:32 2017,glm,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,362,2,cv,5,6,1,5,none
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:30:35 2017,glm.nb,1,1,basic latent features,ignore,none,asis,3
1,1,NA,NA,NA,Fri Aug 11 01:30:47 2017,glmboost,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,364,11,cv,5,6,1,5,435,yes
0.972,0.971,0.005,0.077,0.058,Fri Aug 11 01:30:50 2017,glmnet,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,365,3,cv,5,6,1,5,0.958055851748213,0.00450250230640077
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:31:18 2017,glmnet_h2o,1,1,basic latent features,ignore,none,asis,27
1,1,-1,0,0,Fri Aug 11 01:31:21 2017,glmStepAIC,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,367,3,cv,5,6,1,5,none
1,1,8,0,0,Fri Aug 11 01:31:31 2017,icr,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,368,9,cv,5,6,1,5,8
1,1,7,0,0,Fri Aug 11 01:31:33 2017,kernelpls,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,369,2,cv,5,6,1,5,7
0.721,0.658,NA,0.909,0.58,Fri Aug 11 01:31:38 2017,kknn,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,370,4,cv,5,6,1,5,10,1.0831316630356,triangular
0.478,0.426,15,1.527,1.083,Fri Aug 11 01:31:40 2017,knn,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,371,2,cv,5,6,1,5,15
0.037,-0.02,3,2.712,1.999,Fri Aug 11 01:31:44 2017,krlsPoly,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,372,3,cv,5,6,1,5,0.000524119361267075,3
0.992,0.983,117.709,0.045,0.017,Fri Aug 11 01:31:48 2017,krlsRadial,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,373,4,cv,5,6,1,5,6.14411333121599e-05,117.709222788977
1,1,0.976,0,0,Fri Aug 11 01:31:51 2017,lars,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,374,2,cv,5,6,1,5,0.975913581671193
1,1,9,0,0,Fri Aug 11 01:31:53 2017,lars2,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,375,2,cv,5,6,1,5,9
1,1,0.96,0,0,Fri Aug 11 01:31:56 2017,lasso,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,376,2,cv,5,6,1,5,0.959694409742951
1,1,8,0,0,Fri Aug 11 01:31:58 2017,leapBackward,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,377,2,cv,5,6,1,5,8
1,1,6,0,0,Fri Aug 11 01:32:01 2017,leapForward,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,378,2,cv,5,6,1,5,6
1,1,6,0,0,Fri Aug 11 01:32:03 2017,leapSeq,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,379,2,cv,5,6,1,5,6
1,1,-1,0,0,Fri Aug 11 01:32:06 2017,lm,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,380,2,cv,5,6,1,5,TRUE
1,1,-1,0,0,Fri Aug 11 01:32:09 2017,lmStepAIC,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,381,3,cv,5,6,1,5,none
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:32:13 2017,logicBag,1,1,basic latent features,ignore,none,asis,4
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:32:17 2017,logreg,1,1,basic latent features,ignore,none,asis,4
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:32:17 2017,M5,1,1,basic latent features,ignore,none,asis,1
Fail,Fail,Fail,Fail,Fail,Fri Aug 11 01:32:18 2017,M5Rules,1,1,basic latent features,ignore,none,asis,1
0.999,0.999,3.733,0.002,0.001,Fri Aug 11 01:32:26 2017,msaenet,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,386,7,cv,5,6,1,5,0.716816749610007,3,3.7325151701807
0.239,0.138,0.01,2.292,1.579,Fri Aug 11 01:32:32 2017,nnet,1,1,basic latent features,ignore,none,asis,2.65945968692682,random,387,6,cv,5,6,1,5,11,0.00997085801412027
