,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caret_hold_permute,bayesglm,Wed Aug 15 13:05:38 2018,0.84,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,1,V4.2,1.015,V10.3,1.024,V2.3,1.618,V4.3,1.698,V6.2,1.901,V5.3,2.538,V7.3,2.853,V9.3,2.949,PC2,3.294,V10.2,4.396,V3.3,4.464,V6.3,5.354,PC8,6.12,V4,6.378,ICA5,6.533,V4.1,6.634,PC7,8.033,V7.2,8.447,V3,8.967,V10.4,9.001,V2.1,9.084,V3.1,9.194,V5.1,9.635,V3.4,9.787,ICA8,9.893,V9.2,9.929,V2,9.945,V5,10.03,V8.3,10.18,V4.4,11.21,PC3,11.27,ICA1,11.61,ICA7,11.7,PC6,11.89,V8,13.26,ICA9,13.78,V8.1,13.89,V8.2,15.1,PC9,15.31,V9,16.86,V7.1,16.93,ICA4,17.23,V7,17.24,V9.1,17.38,ICA2,17.66,V10,17.83,V10.1,18.25,V9.4,23.47,PC5,25.16,ICA6,28.11,V7.4,31,V5.4,31.35,ICA3,31.39,V6.1,33.33,V6,33.81,PC4,35.4,PC1,36.44,V3.2,38.53,V5.2,39.91,V2.2,46.12,V2.4,79.22,V6.4,81.74,V8.4,84.03
caret_train_permute,bayesglm,Wed Aug 15 13:05:38 2018,0.84,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,1,V4.2,1.042,V10.3,1.113,V4.3,7.937,V6.2,10.73,V2.3,11.41,V7.3,12.06,PC2,17.18,V5.3,17.7,V3.3,21.7,V9.3,22.77,V10.2,24.61,ICA5,27.66,PC7,32.06,V6.3,33.37,V8.3,38.23,V7.2,39.61,PC8,40.99,V4.1,44.57,V10.4,46.32,V4,47.93,V3,48.35,V3.1,49.87,V8.1,50.69,V8,51.56,V3.4,51.74,V8.2,53.77,PC3,55.57,V5.1,61.57,V5,62.5,ICA9,63.14,V2,70.57,ICA8,72.26,V7.1,76.35,V4.4,78.8,V2.1,80.28,V7,83.04,V9.2,87.76,V10,94.39,ICA3,103.7,ICA7,105.1,V10.1,105.2,PC9,107.9,ICA2,124.8,ICA4,127.6,PC5,128.3,V9,128.7,V9.1,132.5,V7.4,147.3,PC1,149.5,V5.4,179.5,V9.4,181.3,PC4,189.4,V3.2,208.3,PC6,213.1,V6,218,ICA6,220.5,V6.1,226.7,V5.2,247.4,ICA1,295.3,V8.4,298.3,V2.2,354.9,V6.4,528.8,V2.4,624.1
caret,blasso,Wed Aug 15 13:07:11 2018,0.945,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,364,222,,V2,100,V3,9.25,V4,12.5,V5,6.06,V6,0.143,V7,0.617,V8,16.4,V9,5.36,V10,12.9,ICA1,3.76,ICA2,6.67,ICA3,0.438,ICA4,40.3,ICA5,3.26,ICA6,1.97,ICA7,17.7,ICA8,9.97,ICA9,43,PC1,39.8,PC2,0.362,PC3,28.8,PC4,20,PC5,12.5,PC6,6.12,PC7,10.6,PC8,18.1,PC9,7.21,V2.1,100,V3.1,9.25,V4.1,12.5,V5.1,6.06,V6.1,0.143,V7.1,0.617,V8.1,16.4,V9.1,5.36,V10.1,12.9,V2.2,100,V3.2,9.2,V4.2,12.7,V5.2,6.03,V6.2,0,V7.2,0.622,V8.2,16.3,V9.2,5.31,V10.2,13,V2.3,100,V3.3,9.23,V4.3,12.3,V5.3,5.97,V6.3,0.131,V7.3,0.661,V8.3,16.2,V9.3,5.35,V10.3,12.9,V2.4,100,V3.4,9.26,V4.4,12.5,V5.4,5.95,V6.4,0.119,V7.4,0.627,V8.4,16.2,V9.4,5.39,V10.4,12.9
caret_hold_permute,blasso,Wed Aug 15 13:07:11 2018,0.945,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,0,V8.3,0.7978,V3.1,0.8054,ICA9,0.8093,V5.4,0.8117,V3.2,0.8166,ICA8,0.8887,ICA2,0.9,V5.3,0.9029,PC9,0.9063,V4.3,0.9511,ICA6,0.9556,V7,0.9713,V10.1,0.9864,PC5,0.9892,V10,0.9975,V10.3,0.9983,ICA1,1,PC6,1,PC7,1,V4.2,1,V10.4,1.002,PC3,1.005,ICA5,1.006,ICA3,1.007,V7.3,1.009,V4.4,1.011,V4,1.027,V7.4,1.049,PC2,1.051,V5.1,1.052,V9.1,1.054,V4.1,1.057,V9,1.063,PC8,1.09,ICA7,1.1,V3,1.106,V3.3,1.12,V7.1,1.134,V10.2,1.136,V6.3,1.143,PC1,1.167,V5,1.169,V5.2,1.259,V8.1,1.28,PC4,1.305,V9.3,1.343,V3.4,1.35,V6.4,1.393,V6.2,1.393,V8,1.403,V6.1,1.419,V6,1.472,ICA4,1.479,V7.2,1.985,V8.2,2.154,V9.2,2.204,V8.4,2.401,V9.4,2.667,V2.1,5.37,V2,6.65,V2.3,23.57,V2.4,90.55,V2.2,104
caret_train_permute,blasso,Wed Aug 15 13:07:12 2018,0.945,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,0,V7,0.9862,ICA6,0.995,ICA8,0.9951,ICA2,0.9986,ICA5,0.9988,PC5,0.9989,V10,0.9991,V4.4,0.9991,PC3,0.9994,V10.3,0.9998,ICA1,1,PC6,1,PC7,1,V4.2,1,ICA3,1.001,V4.1,1.002,V7.3,1.003,PC8,1.004,V10.1,1.006,V4,1.006,V5.1,1.008,V5.3,1.012,PC2,1.014,V9.1,1.017,V9,1.022,V3.3,1.022,V10.4,1.029,V3,1.029,PC9,1.038,V8.1,1.038,V3.1,1.047,V5,1.053,ICA7,1.054,V8.3,1.059,V7.4,1.065,V4.3,1.069,V5.4,1.075,V8,1.081,V10.2,1.11,V5.2,1.111,V7.1,1.114,PC4,1.119,PC1,1.153,V6.3,1.157,V3.4,1.171,V9.3,1.198,ICA9,1.209,V3.2,1.211,V8.4,1.442,V6.2,1.448,ICA4,1.508,V6.4,1.521,V6,1.691,V6.1,1.824,V7.2,1.834,V8.2,2.13,V9.4,3.22,V9.2,4.183,V2,9.242,V2.1,9.384,V2.3,40.51,V2.4,138.1,V2.2,154.4
caret,blassoAveraged,Wed Aug 15 13:08:50 2018,0.938,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,472,222,,V2,100,V3,9.25,V4,12.5,V5,6.06,V6,0.143,V7,0.617,V8,16.4,V9,5.36,V10,12.9,ICA1,3.76,ICA2,6.67,ICA3,0.438,ICA4,40.3,ICA5,3.26,ICA6,1.97,ICA7,17.7,ICA8,9.97,ICA9,43,PC1,39.8,PC2,0.362,PC3,28.8,PC4,20,PC5,12.5,PC6,6.12,PC7,10.6,PC8,18.1,PC9,7.21,V2.1,100,V3.1,9.25,V4.1,12.5,V5.1,6.06,V6.1,0.143,V7.1,0.617,V8.1,16.4,V9.1,5.36,V10.1,12.9,V2.2,100,V3.2,9.2,V4.2,12.7,V5.2,6.03,V6.2,0,V7.2,0.622,V8.2,16.3,V9.2,5.31,V10.2,13,V2.3,100,V3.3,9.23,V4.3,12.3,V5.3,5.97,V6.3,0.131,V7.3,0.661,V8.3,16.2,V9.3,5.35,V10.3,12.9,V2.4,100,V3.4,9.26,V4.4,12.5,V5.4,5.95,V6.4,0.119,V7.4,0.627,V8.4,16.2,V9.4,5.39,V10.4,12.9
caret_hold_permute,blassoAveraged,Wed Aug 15 13:08:52 2018,0.938,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,2,ICA9,0.7141,V8.3,0.7276,V5.3,0.7312,ICA6,0.7997,PC9,0.8056,ICA8,0.8194,ICA2,0.8512,V7.4,0.8847,PC3,0.9112,V9,0.9281,V8,0.955,V7,0.9559,V3,0.9597,V10.1,0.9868,V10.2,0.9934,V10.3,1.001,V4.1,1.007,ICA1,1.008,V4.3,1.012,V4.2,1.014,V9.2,1.015,V6.3,1.022,V3.1,1.023,V4.4,1.03,V6.4,1.036,V10,1.052,V10.4,1.065,V9.3,1.066,PC6,1.114,V4,1.133,V5.4,1.189,V6,1.195,V3.4,1.202,V5,1.224,V9.1,1.269,V6.1,1.283,ICA5,1.306,PC7,1.339,PC2,1.406,ICA7,1.411,V5.1,1.421,PC5,1.64,V5.2,1.7,V3.3,1.743,V8.1,1.777,V7.3,1.779,V8.4,1.781,PC8,1.87,V9.4,1.877,V3.2,1.991,V7.1,2.152,ICA3,2.261,PC4,2.43,ICA4,2.588,V6.2,2.629,V8.2,3.069,V7.2,3.899,PC1,4.002,V2,5.833,V2.1,6.476,V2.3,21.56,V2.4,68.26,V2.2,85.11
caret_train_permute,blassoAveraged,Wed Aug 15 13:08:54 2018,0.938,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,2,V4.1,1.001,V8,1.002,V6.3,1.002,V9.3,1.002,V9,1.003,V10,1.004,V10.2,1.004,V3,1.006,V6.4,1.011,V4.2,1.011,V10.4,1.013,ICA1,1.018,V4.3,1.028,V4.4,1.042,V10.3,1.045,V5.4,1.054,V10.1,1.055,V3.4,1.063,V5,1.081,V8.3,1.082,PC7,1.086,PC9,1.089,PC6,1.107,V9.1,1.11,ICA6,1.124,PC2,1.133,V7.4,1.137,V8.4,1.138,V8.1,1.16,ICA9,1.173,ICA2,1.2,ICA8,1.221,V5.1,1.244,V3.1,1.248,V7,1.255,ICA5,1.283,V4,1.348,V7.3,1.349,PC3,1.361,ICA7,1.374,V5.3,1.389,ICA3,1.396,V3.3,1.445,V5.2,1.477,PC5,1.55,V6,1.565,PC8,1.667,V9.4,1.771,V6.1,1.937,PC4,1.973,V7.1,2.172,V3.2,2.258,V9.2,2.285,V6.2,2.51,V8.2,2.61,V7.2,3.05,ICA4,3.186,PC1,3.31,V2,8.03,V2.1,11,V2.3,34.89,V2.4,97.03,V2.2,116.7
caret,bridge,Wed Aug 15 13:09:53 2018,0.954,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,607,222,,V2,100,V3,9.25,V4,12.5,V5,6.06,V6,0.143,V7,0.617,V8,16.4,V9,5.36,V10,12.9,ICA1,3.76,ICA2,6.67,ICA3,0.438,ICA4,40.3,ICA5,3.26,ICA6,1.97,ICA7,17.7,ICA8,9.97,ICA9,43,PC1,39.8,PC2,0.362,PC3,28.8,PC4,20,PC5,12.5,PC6,6.12,PC7,10.6,PC8,18.1,PC9,7.21,V2.1,100,V3.1,9.25,V4.1,12.5,V5.1,6.06,V6.1,0.143,V7.1,0.617,V8.1,16.4,V9.1,5.36,V10.1,12.9,V2.2,100,V3.2,9.2,V4.2,12.7,V5.2,6.03,V6.2,0,V7.2,0.622,V8.2,16.3,V9.2,5.31,V10.2,13,V2.3,100,V3.3,9.23,V4.3,12.3,V5.3,5.97,V6.3,0.131,V7.3,0.661,V8.3,16.2,V9.3,5.35,V10.3,12.9,V2.4,100,V3.4,9.26,V4.4,12.5,V5.4,5.95,V6.4,0.119,V7.4,0.627,V8.4,16.2,V9.4,5.39,V10.4,12.9
caret_hold_permute,bridge,Wed Aug 15 13:09:54 2018,0.954,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,2,V3,0.8345,V5.4,0.8493,V10.1,0.9139,V8.3,0.9325,V9.3,0.9536,V8.1,0.9543,V4.4,0.9592,V6.2,0.9676,V5.3,0.9704,V6.4,0.9913,PC9,0.9958,V4.3,0.9966,PC7,0.9968,ICA9,0.997,ICA5,0.9974,PC8,0.998,ICA3,0.9983,ICA7,0.9994,PC1,0.9999,PC5,1,ICA1,1,PC3,1,PC6,1,PC4,1,ICA8,1,ICA6,1,ICA4,1.001,PC2,1.001,V4.2,1.001,V7,1.002,ICA2,1.002,V4.1,1.019,V6.3,1.023,V4,1.023,V5,1.029,V9,1.041,V7.2,1.061,V5.2,1.084,V10,1.096,V10.3,1.099,V10.4,1.1,V5.1,1.131,V3.2,1.154,V7.4,1.154,V3.3,1.287,V3.1,1.293,V7.3,1.331,V6.1,1.365,V6,1.45,V9.1,1.454,V7.1,1.523,V10.2,1.617,V8,1.631,V3.4,1.898,V8.2,2.633,V8.4,3.953,V9.2,4.468,V9.4,4.689,V2.1,10.49,V2,11.24,V2.3,38.38,V2.4,88.67,V2.2,121.9
caret_train_permute,bridge,Wed Aug 15 13:09:56 2018,0.954,2,poly aC1^1.3 + bC1^2.1 + dC1^.7,ignore,none,all,LAPTOP-1SBQTC5I,firstfullPCAs4bk,2,20,403,520,222,2,V4.1,0.9988,V5.3,0.9989,V10.4,0.999,V7,0.9998,ICA7,0.9999,V4.2,0.9999,PC6,0.9999,ICA8,1,PC5,1,PC1,1,PC3,1,ICA1,1,ICA4,1,PC4,1,ICA5,1,V4.3,1,PC2,1,ICA9,1,PC7,1,ICA2,1.001,ICA3,1.001,PC9,1.002,ICA6,1.002,PC8,1.002,V4,1.003,V10.3,1.005,V4.4,1.007,V5,1.009,V5.2,1.023,V3,1.024,V6.2,1.027,V3.3,1.03,V9,1.034,V5.1,1.041,V10.1,1.044,V3.1,1.052,V7.2,1.052,V9.3,1.055,V8.1,1.058,V5.4,1.066,V6.4,1.072,V7.4,1.078,V8.3,1.106,V6.3,1.107,V8,1.168,V7.3,1.178,V7.1,1.283,V10.2,1.305,V10,1.345,V6,1.373,V3.4,1.389,V6.1,1.4,V9.1,1.479,V3.2,1.696,V8.2,2.021,V8.4,2.112,V9.4,5.732,V9.2,6.299,V2,12.69,V2.1,14.92,V2.3,54.92,V2.4,113.4,V2.2,152.8
